Category: All categories

Month,holiday: (United Kingdom),travel: (United Kingdom),flights: (United Kingdom)
2004-01,66,87,98
2004-02,59,79,84
2004-03,54,72,79
2004-04,59,78,86
2004-05,65,77,83
2004-06,66,81,89
2004-07,79,96,98
2004-08,77,95,100
2004-09,58,79,86
2004-10,46,72,75
2004-11,43,66,68
2004-12,40,60,60
2005-01,67,83,98
2005-02,56,78,86
2005-03,55,74,83
2005-04,58,73,87
2005-05,65,76,88
2005-06,64,84,89
2005-07,70,93,94
2005-08,74,89,98
2005-09,53,78,85
2005-10,44,66,70
2005-11,35,60,58
2005-12,36,54,57
2006-01,61,78,91
2006-02,50,70,78
2006-03,49,68,75
2006-04,56,72,77
2006-05,56,72,76
2006-06,57,76,77
2006-07,70,87,89
2006-08,68,87,86
2006-09,51,75,72
2006-10,43,65,69
2006-11,36,56,56
2006-12,35,54,55
2007-01,59,83,88
2007-02,51,73,72
2007-03,51,68,69
2007-04,56,70,72
2007-05,57,70,70
2007-06,56,80,72
2007-07,67,89,82
2007-08,67,89,80
2007-09,51,74,72
2007-10,44,62,59
2007-11,36,54,50
2007-12,33,48,46
2008-01,60,74,80
2008-02,50,67,67
2008-03,50,65,63
2008-04,49,61,60
2008-05,56,64,60
2008-06,55,65,62
2008-07,60,70,63
2008-08,60,64,60
2008-09,44,57,53
2008-10,33,47,43
2008-11,29,41,36
2008-12,26,38,31
2009-01,50,58,56
2009-02,40,57,45
2009-03,41,48,43
2009-04,44,51,45
2009-05,45,53,46
2009-06,47,58,51
2009-07,52,62,53
2009-08,50,57,52
2009-09,37,48,46
2009-10,32,42,41
2009-11,25,38,34
2009-12,24,39,32
2010-01,41,54,51
2010-02,36,43,42
2010-03,36,44,42
2010-04,39,45,46
2010-05,41,42,39
2010-06,38,44,37
2010-07,45,48,39
2010-08,45,46,39
2010-09,31,39,32
2010-10,25,35,30
2010-11,21,32,24
2010-12,22,44,25
2011-01,48,53,48
2011-02,39,48,40
2011-03,37,46,37
2011-04,47,47,35
2011-05,45,48,39
2011-06,44,50,39
2011-07,50,54,42
2011-08,47,49,40
2011-09,34,43,38
2011-10,28,37,31
2011-11,22,32,26
2011-12,24,32,25
2012-01,44,48,43
2012-02,34,42,36
2012-03,36,40,35
2012-04,44,43,35
2012-05,48,45,36
2012-06,47,48,38
2012-07,47,53,40
2012-08,50,50,37
2012-09,35,44,35
2012-10,27,36,31
2012-11,22,34,24
2012-12,23,32,24
2013-01,41,52,40
2013-02,36,42,31
2013-03,39,44,32
2013-04,44,42,34
2013-05,52,44,34
2013-06,45,49,36
2013-07,51,52,36
2013-08,55,51,35
2013-09,36,44,33
2013-10,29,38,29
2013-11,24,33,24
2013-12,26,35,24
2014-01,47,50,43
2014-02,37,48,34
2014-03,39,40,31
2014-04,51,42,32
2014-05,56,44,33
2014-06,47,48,35
2014-07,56,50,38
2014-08,58,49,37
2014-09,37,42,33
2014-10,33,37,29
2014-11,26,31,25
2014-12,27,33,24
2015-01,48,48,41
2015-02,40,41,35
2015-03,42,41,34
2015-04,53,41,32
2015-05,60,42,34
2015-06,51,48,37
2015-07,57,51,39
2015-08,62,46,40
2015-09,39,42,35
2015-10,32,35,32
2015-11,26,34,27
2015-12,33,33,27
2016-01,50,44,44
2016-02,41,40,38
2016-03,48,38,35
2016-04,47,38,35
2016-05,62,41,36
2016-06,44,43,36
2016-07,58,47,41
2016-08,63,45,38
2016-09,41,39,37
2016-10,35,33,34
2016-11,26,31,28
2016-12,31,30,27
2017-01,51,43,45
2017-02,39,39,38
2017-03,41,36,36
2017-04,55,37,36
2017-05,56,39,37
2017-06,49,40,36
2017-07,56,43,43
2017-08,64,43,43
2017-09,39,38,44
2017-10,33,33,37
2017-11,27,29,27
2017-12,30,31,28
2018-01,48,40,46
2018-02,41,38,40
2018-03,43,41,39
2018-04,52,37,40
2018-05,61,37,37
2018-06,45,39,39
2018-07,54,40,42
2018-08,58,40,41
2018-09,36,37,42
2018-10,31,32,36
2018-11,25,28,30
2018-12,30,28,31
2019-01,46,38,49
2019-02,37,34,41
2019-03,38,34,39
2019-04,53,35,41
2019-05,59,38,41
2019-06,47,38,42
2019-07,53,40,45
2019-08,60,38,43
2019-09,41,38,53
2019-10,33,35,46
2019-11,26,29,37
2019-12,31,30,41
2020-01,48,43,57
2020-02,39,45,48
2020-03,33,56,45
2020-04,27,20,18
2020-05,37,24,19
2020-06,31,30,24
2020-07,51,41,29
2020-08,50,36,25
2020-09,32,33,21
2020-10,24,31,19
2020-11,19,29,17
2020-12,24,37,21
2021-01,22,27,17
2021-02,29,25,13
2021-03,32,29,15
2021-04,38,30,12
2021-05,46,41,16
2021-06,39,43,15
2021-07,43,49,17
