Category: All categories

Week,ice cream: (United Kingdom),hot chocolate: (United Kingdom)
2016-07-17,76,4
2016-07-24,58,4
2016-07-31,54,5
2016-08-07,54,4
2016-08-14,48,4
2016-08-21,49,3
2016-08-28,45,4
2016-09-04,39,4
2016-09-11,37,6
2016-09-18,36,8
2016-09-25,31,7
2016-10-02,32,8
2016-10-09,29,10
2016-10-16,27,10
2016-10-23,31,9
2016-10-30,27,16
2016-11-06,25,20
2016-11-13,25,17
2016-11-20,27,20
2016-11-27,29,19
2016-12-04,29,18
2016-12-11,28,21
2016-12-18,31,19
2016-12-25,30,11
2017-01-01,26,9
2017-01-08,23,10
2017-01-15,29,11
2017-01-22,30,9
2017-01-29,32,8
2017-02-05,36,8
2017-02-12,35,8
2017-02-19,37,7
2017-02-26,31,6
2017-03-05,35,8
2017-03-12,33,7
2017-03-19,38,7
2017-03-26,43,7
2017-04-02,52,5
2017-04-09,53,9
2017-04-16,43,7
2017-04-23,40,6
2017-04-30,48,6
2017-05-07,44,5
2017-05-14,42,5
2017-05-21,63,3
2017-05-28,58,5
2017-06-04,50,5
2017-06-11,56,6
2017-06-18,69,3
2017-06-25,47,6
2017-07-02,59,4
2017-07-09,56,4
2017-07-16,58,5
2017-07-23,52,5
2017-07-30,54,5
2017-08-06,52,6
2017-08-13,54,5
2017-08-20,56,5
2017-08-27,59,5
2017-09-03,36,7
2017-09-10,34,8
2017-09-17,37,8
2017-09-24,38,7
2017-10-01,34,8
2017-10-08,34,11
2017-10-15,35,11
2017-10-22,38,10
2017-10-29,32,16
2017-11-05,34,14
2017-11-12,32,14
2017-11-19,33,17
2017-11-26,30,21
2017-12-03,31,20
2017-12-10,31,25
2017-12-17,34,19
2017-12-24,30,13
2017-12-31,30,10
2018-01-07,34,10
2018-01-14,35,10
2018-01-21,41,9
2018-01-28,40,10
2018-02-04,45,9
2018-02-11,38,7
2018-02-18,44,8
2018-02-25,31,13
2018-03-04,34,10
2018-03-11,43,6
2018-03-18,41,9
2018-03-25,42,8
2018-04-01,40,6
2018-04-08,50,7
2018-04-15,68,5
2018-04-22,46,4
2018-04-29,54,5
2018-05-06,67,5
2018-05-13,59,4
2018-05-20,68,4
2018-05-27,72,5
2018-06-03,57,4
2018-06-10,58,4
2018-06-17,56,4
2018-06-24,77,3
2018-07-01,71,3
2018-07-08,65,4
2018-07-15,67,3
2018-07-22,80,4
2018-07-29,63,5
2018-08-05,61,5
2018-08-12,48,5
2018-08-19,46,6
2018-08-26,47,6
2018-09-02,42,5
2018-09-09,37,7
2018-09-16,40,8
2018-09-23,34,8
2018-09-30,39,9
2018-10-07,38,9
2018-10-14,35,11
2018-10-21,33,12
2018-10-28,30,16
2018-11-04,29,16
2018-11-11,35,15
2018-11-18,33,20
2018-11-25,33,21
2018-12-02,29,19
2018-12-09,29,21
2018-12-16,33,21
2018-12-23,34,15
2018-12-30,36,11
2019-01-06,30,11
2019-01-13,31,11
2019-01-20,31,9
2019-01-27,39,11
2019-02-03,34,9
2019-02-10,42,7
2019-02-17,48,10
2019-02-24,47,6
2019-03-03,39,8
2019-03-10,34,7
2019-03-17,43,7
2019-03-24,47,6
2019-03-31,49,7
2019-04-07,54,8
2019-04-14,63,7
2019-04-21,55,9
2019-04-28,44,5
2019-05-05,45,7
2019-05-12,57,6
2019-05-19,55,5
2019-05-26,54,5
2019-06-02,47,7
2019-06-09,45,6
2019-06-16,57,4
2019-06-23,68,6
2019-06-30,68,5
2019-07-07,70,5
2019-07-14,58,5
2019-07-21,90,3
2019-07-28,63,4
2019-08-04,61,6
2019-08-11,53,6
2019-08-18,54,4
2019-08-25,62,10
2019-09-01,41,6
2019-09-08,38,7
2019-09-15,41,6
2019-09-22,31,9
2019-09-29,33,10
2019-10-06,34,11
2019-10-13,33,10
2019-10-20,35,14
2019-10-27,36,15
2019-11-03,33,17
2019-11-10,30,23
2019-11-17,31,23
2019-11-24,32,26
2019-12-01,31,25
2019-12-08,29,23
2019-12-15,33,23
2019-12-22,32,16
2019-12-29,32,12
2020-01-05,31,11
2020-01-12,31,10
2020-01-19,34,11
2020-01-26,35,10
2020-02-02,35,8
2020-02-09,35,10
2020-02-16,42,9
2020-02-23,34,9
2020-03-01,35,8
2020-03-08,32,7
2020-03-15,26,6
2020-03-22,34,7
2020-03-29,38,8
2020-04-05,52,10
2020-04-12,53,8
2020-04-19,55,8
2020-04-26,52,10
2020-05-03,66,9
2020-05-10,61,9
2020-05-17,78,8
2020-05-24,91,8
2020-05-31,76,7
2020-06-07,65,8
2020-06-14,61,7
2020-06-21,84,6
2020-06-28,60,7
2020-07-05,59,7
2020-07-12,68,9
2020-07-19,76,8
2020-07-26,72,9
2020-08-02,79,8
2020-08-09,85,5
2020-08-16,63,7
2020-08-23,55,9
2020-08-30,53,9
2020-09-06,46,10
2020-09-13,53,9
2020-09-20,43,9
2020-09-27,39,14
2020-10-04,40,15
2020-10-11,39,30
2020-10-18,38,23
2020-10-25,40,24
2020-11-01,39,33
2020-11-08,40,33
2020-11-15,42,40
2020-11-22,37,45
2020-11-29,30,48
2020-12-06,35,46
2020-12-13,35,38
2020-12-20,32,32
2020-12-27,35,26
2021-01-03,30,20
2021-01-10,40,20
2021-01-17,39,16
2021-01-24,45,16
2021-01-31,50,18
2021-02-07,48,18
2021-02-14,48,14
2021-02-21,47,11
2021-02-28,45,13
2021-03-07,44,12
2021-03-14,46,11
2021-03-21,49,9
2021-03-28,64,12
2021-04-04,55,9
2021-04-11,56,9
2021-04-18,62,6
2021-04-25,53,8
2021-05-02,55,8
2021-05-09,59,7
2021-05-16,51,7
2021-05-23,55,6
2021-05-30,100,7
2021-06-06,84,5
2021-06-13,79,5
2021-06-20,63,6
2021-06-27,65,7
2021-07-04,62,6
2021-07-11,63,5
